x,y,z
0,0,158
1,0,159
2,0,161
3,0,158
4,0,162
5,0,159
6,0,156
7,0,158
8,0,157
9,0,153
10,0,153
11,0,154
12,0,153
13,0,150
14,0,150
15,0,148
16,0,148
17,0,148
18,0,148
19,0,146
20,0,149
21,0,148
22,0,148
23,0,146
24,0,150
25,0,146
26,0,146
27,0,145
28,0,144
29,0,141
30,0,141
31,0,142
32,0,143
33,0,145
34,0,143
35,0,142
36,0,141
37,0,148
38,0,150
39,0,150
40,0,150
41,0,150
42,0,153
43,0,153
44,0,155
45,0,159
46,0,162
47,0,162
48,0,163
49,0,165
50,0,167
51,0,166
52,0,168
53,0,168
54,0,171
55,0,171
56,0,171
57,0,171
58,0,171
59,0,171
60,0,172
61,0,172
62,0,172
63,0,172
64,0,172
65,0,172
66,0,172
67,0,172
68,0,172
69,0,172
70,0,172
71,0,171
72,0,171
73,0,172
74,0,172
75,0,173
76,0,172
77,0,172
78,0,173
79,0,173
80,0,172
81,0,172
82,0,172
83,0,171
84,0,171
85,0,171
86,0,172
87,0,172
88,0,172
89,0,172
90,0,172
91,0,172
92,0,171
93,0,171
94,0,172
95,0,171
96,0,172
97,0,171
98,0,173
99,0,173
100,0,173
101,0,172
102,0,172
103,0,174
104,0,173
105,0,172
106,0,172
107,0,173
108,0,172
109,0,173
110,0,173
111,0,173
112,0,172
113,0,173
114,0,173
115,0,175
116,0,174
117,0,174
118,0,173
119,0,175
120,0,174
121,0,174
122,0,173
123,0,175
124,0,174
125,0,174
126,0,174
127,0,174
128,0,174
129,0,173
130,0,173
131,0,174
132,0,172
133,0,173
134,0,173
135,0,174
136,0,173
137,0,173
138,0,174
139,0,174
140,0,173
141,0,174
142,0,173
143,0,173
144,0,174
145,0,174
146,0,173
147,0,173
148,0,173
149,0,172
150,0,173
151,0,173
152,0,173
153,0,172
154,0,172
155,0,173
156,0,172
157,0,173
158,0,173
159,0,172
160,0,173
161,0,172
162,0,173
163,0,172
164,0,173
165,0,173
166,0,173
167,0,173
168,0,174
169,0,173
170,0,174
171,0,174
172,0,173
173,0,174
174,0,172
175,0,173
176,0,174
177,0,173
178,0,174
179,0,175
180,0,174
181,0,174
182,0,175
183,0,173
184,0,174
185,0,175
186,0,174
187,0,175
188,0,175
189,0,176
190,0,177
191,0,175
192,0,174
193,0,174
194,0,175
195,0,177
196,0,175
197,0,172
198,0,170
